Date,Open,High,Low,Close,Adj Close,Volume
1999-07-29,19.125,19.875,18.75,18.75,12.123991966247559,4780800
1999-07-30,19.0,19.1875,18.625,19.1875,12.406881332397461,1036200
1999-08-02,19.0,19.0,18.75,18.75,12.123991966247559,168800
1999-08-03,18.75,18.8125,18.25,18.75,12.123991966247559,246200
1999-08-04,18.75,18.75,18.125,18.625,12.043159484863281,178200
1999-08-05,18.625,18.625,17.875,18.125,11.719858169555664,67700
1999-08-06,18.125,18.1875,17.375,17.5,11.315727233886719,103900
1999-08-09,17.4375,17.5625,17.1875,17.375,11.234891891479492,75800
1999-08-10,17.25,17.25,16.75,17.0,10.992415428161621,81500
1999-08-11,17.0,17.4375,17.0,17.4375,11.275306701660156,18700
1999-08-12,18.25,18.25,17.625,17.75,11.477380752563477,63400
1999-08-13,17.875,17.9375,17.1875,17.1875,11.113649368286133,62700
1999-08-16,17.0,17.0,16.25,16.4375,10.628698348999023,72600
1999-08-17,16.4375,16.875,16.375,16.625,10.749934196472168,37400
1999-08-18,16.625,16.6875,16.375,16.375,10.58828353881836,36800
1999-08-19,16.375,16.625,16.375,16.5,10.669109344482422,32600
1999-08-20,16.4375,17.1875,16.4375,17.0,10.992415428161621,136100
1999-08-23,17.875,17.9375,17.25,17.375,11.234891891479492,193800
1999-08-24,17.125,17.4375,16.875,17.0625,11.032827377319336,126600
1999-08-25,16.875,17.0,16.5,16.625,10.803757667541504,125500
1999-08-26,16.625,17.0,16.625,17.0,11.047451972961426,32700
1999-08-27,17.25,17.5,17.125,17.4375,11.331757545471191,34300
1999-08-30,17.4375,18.375,17.25,18.0625,11.737916946411133,136000
1999-08-31,17.9375,19.25,17.75,19.0,12.34715461730957,309100
1999-09-01,19.0625,19.0625,18.25,18.375,11.940990447998047,49100
1999-09-02,18.375,18.375,17.75,18.375,11.940990447998047,50900
1999-09-03,18.4375,18.5625,18.1875,18.3125,11.900379180908203,52300
1999-09-07,18.0625,18.0625,17.8125,17.8125,11.575454711914062,12700
1999-09-08,17.8125,17.8125,16.625,16.9375,11.006837844848633,54400
1999-09-09,16.8125,16.9375,16.625,16.75,10.88498592376709,28100
1999-09-10,16.875,16.875,16.25,16.25,10.560064315795898,91800
1999-09-13,16.375,17.0625,16.375,16.9375,11.006837844848633,33600
1999-09-14,17.0625,17.125,16.375,16.5,10.722526550292969,18500
1999-09-15,16.5,17.0,16.3125,17.0,11.047451972961426,69500
1999-09-16,17.25,17.25,16.8125,16.8125,10.925604820251465,84500
1999-09-17,17.0,17.125,16.875,17.125,11.128683090209961,22500
1999-09-20,17.0625,17.0625,16.8125,16.9375,11.006837844848633,18200
1999-09-21,16.75,16.8125,16.5,16.5,10.722526550292969,23800
1999-09-22,16.5,16.8125,16.5,16.75,10.88498592376709,19600
1999-09-23,16.75,16.75,15.375,15.375,9.991446495056152,55700
1999-09-24,15.375,15.5,14.5,14.9375,9.707134246826172,80200
1999-09-27,15.0625,15.25,14.75,14.8125,9.625903129577637,69600
1999-09-28,14.6875,14.75,14.5,14.6875,9.544675827026367,37600
1999-09-29,14.625,14.75,14.625,14.75,9.58528995513916,114600
1999-09-30,15.5,15.875,15.25,15.5,10.072676658630371,83000
1999-10-01,15.0,15.75,15.0,15.75,10.235137939453125,65000
1999-10-04,15.75,15.75,15.4375,15.625,10.153905868530273,107500
1999-10-05,15.375,15.5625,15.0,15.0,9.747753143310547,83000
1999-10-06,15.0,15.0625,14.625,14.625,9.504056930541992,58700
1999-10-07,14.625,15.0,14.625,14.9375,9.707134246826172,68100
1999-10-08,14.6875,14.875,14.375,14.5625,9.4634428024292,60000
1999-10-11,14.625,14.625,14.25,14.3125,9.300981521606445,40900
1999-10-12,14.3125,14.3125,13.25,13.8125,8.976054191589355,177700
1999-10-13,13.6875,15.1875,13.6875,14.9375,9.707134246826172,75500
1999-10-14,14.875,15.125,14.5625,14.75,9.58528995513916,50400
1999-10-15,14.625,14.625,14.25,14.25,9.260364532470703,15700
1999-10-18,14.25,14.4375,13.875,14.0,9.09790325164795,29100
1999-10-19,13.75,13.75,13.375,13.5,8.77297592163086,36200
1999-10-20,13.5,13.75,13.25,13.5,8.77297592163086,25700
1999-10-21,13.4375,13.5,13.1875,13.375,8.691744804382324,15200
1999-10-22,13.3125,13.5,13.25,13.25,8.610519409179688,17100
1999-10-25,13.125,13.125,12.875,13.125,8.52928352355957,38200
1999-10-26,13.25,13.6875,13.25,13.25,8.610519409179688,319000
1999-10-27,13.125,13.125,9.875,10.0,6.498499870300293,991200
1999-10-28,10.0,10.1875,9.125,9.625,6.254807949066162,958900
1999-10-29,9.6875,10.25,9.625,10.1875,6.6203460693359375,553200
1999-11-01,10.6875,11.0,10.0,10.125,6.579734802246094,218600
1999-11-02,10.5,10.75,10.25,10.5625,6.864040374755859,365500
1999-11-03,10.5625,10.875,10.5,10.5625,6.864040374755859,157100
1999-11-04,10.5,10.625,10.4375,10.4375,6.782809257507324,81800
1999-11-05,10.4375,10.625,10.25,10.5625,6.864040374755859,226100
