Date,Open,High,Low,Close,Adj Close,Volume
1988-01-26,11.5,11.75,11.25,11.5,7.029174327850342,7244600
1988-01-27,11.5625,12.375,11.4375,12.375,7.5640058517456055,3652400
1988-01-28,12.25,12.5625,12.125,12.5625,7.678613185882568,2180000
1988-01-29,12.4375,12.5625,11.875,12.25,7.48760461807251,1335400
1988-02-01,12.125,12.25,11.9375,12.0,7.334790229797363,488800
1988-02-02,12.0,12.0,11.8125,12.0,7.334790229797363,476800
1988-02-03,12.0,12.625,12.0,12.125,7.411200046539307,1284600
1988-02-04,12.125,12.3125,12.0625,12.3125,7.525805950164795,328000
1988-02-05,12.25,12.4375,12.25,12.375,7.5640058517456055,403600
1988-02-08,12.125,12.125,11.875,12.0,7.334790229797363,143400
1988-02-09,12.125,12.125,11.875,11.875,7.258390426635742,157000
1988-02-10,12.0,12.3125,12.0,12.25,7.48760461807251,456400
1988-02-11,12.375,12.5625,12.375,12.375,7.5640058517456055,484000
1988-02-12,12.5,12.8125,12.5,12.75,7.793217182159424,222600
1988-02-16,12.8125,13.25,12.8125,13.25,8.098834037780762,838000
1988-02-17,13.25,13.4375,12.875,13.0625,7.984226703643799,642400
1988-02-18,13.0,13.3125,12.9375,13.25,8.098834037780762,516000
1988-02-19,13.25,14.625,13.25,14.25,8.710067749023438,1103400
1988-02-22,14.125,14.25,14.0,14.1875,8.671867370605469,326600
1988-02-23,14.125,14.125,13.8125,14.0,8.557259559631348,245000
1988-02-24,13.9375,13.9375,13.75,13.875,8.480854034423828,271600
1988-02-25,13.875,14.25,13.875,14.0625,8.595459938049316,948000
1988-02-26,14.0625,14.125,14.0,14.125,8.633663177490234,256000
1988-02-29,14.25,15.1875,14.1875,15.125,9.244897842407227,647800
1988-03-01,15.1875,15.375,14.875,14.875,9.092090606689453,587200
1988-03-02,14.8125,15.1875,14.8125,15.1875,9.283096313476562,192000
1988-03-03,15.3125,15.3125,15.0,15.0,9.168493270874023,232800
1988-03-04,14.875,15.5,14.875,15.5,9.474109649658203,426000
1988-03-07,15.25,16.0625,15.25,15.9375,9.741520881652832,463400
1988-03-08,15.875,16.0625,15.8125,15.9375,9.741520881652832,494800
1988-03-09,16.0,16.0,15.8125,15.875,9.703320503234863,205400
1988-03-10,15.9375,15.9375,14.5625,14.5625,8.901077270507812,414200
1988-03-11,14.5,14.6875,14.0,14.5,8.905686378479004,223400
1988-03-14,14.625,15.125,14.5625,15.0625,9.2511625289917,144800
1988-03-15,15.25,15.9375,15.25,15.9375,9.78857135772705,673200
