Date,Open,High,Low,Close,Adj Close,Volume
1980-11-18,14.125,14.5,14.125,14.125,2.3878564834594727,3200
1980-11-19,14.25,14.625,14.25,14.25,2.4089884757995605,8000
1980-11-20,14.25,14.25,14.125,14.125,2.3878564834594727,16600
1980-11-21,14.625,14.875,14.625,14.625,2.472382068634033,18700
1980-11-24,14.5,14.5,14.125,14.125,2.3878564834594727,40900
1980-11-25,13.75,13.75,13.5,13.5,2.282198905944824,25800
1980-11-26,14.125,14.5,14.125,14.125,2.3878564834594727,75000
1980-11-28,14.375,14.5,14.375,14.375,2.4301183223724365,19300
1980-12-01,14.375,14.375,14.0,14.0,2.366724967956543,26200
1980-12-02,13.5,13.5,13.0,13.0,2.1976730823516846,20000
1980-12-03,13.125,13.5,13.125,13.125,2.2188045978546143,10500
1980-12-04,13.125,13.25,12.75,12.75,2.155410051345825,13700
1980-12-05,12.75,13.25,12.75,12.75,2.155410051345825,11000
1980-12-08,12.25,12.25,11.75,11.75,1.9863579273223877,8700
1980-12-09,11.75,12.5,11.75,11.75,1.9863579273223877,38700
1980-12-10,12.75,13.5,12.75,12.75,2.155410051345825,10800
1980-12-11,12.75,13.25,12.5,12.5,2.1131465435028076,10800
1980-12-12,12.75,13.25,12.75,12.75,2.155410051345825,4500
1980-12-15,12.75,12.75,12.0,12.0,2.0286216735839844,8000
1980-12-16,12.0,12.5,12.0,12.0,2.0286216735839844,7500
1980-12-17,12.0,12.5,12.0,12.0,2.0286216735839844,7000
1980-12-18,12.0,12.5,11.75,11.75,1.9863579273223877,10600
1980-12-19,12.0,12.5,12.0,12.0,2.0286216735839844,18700
1980-12-22,12.25,12.75,12.25,12.25,2.0708837509155273,16800
1980-12-23,12.25,12.5,12.25,12.25,2.0708837509155273,8600
1980-12-24,12.25,12.75,12.25,12.25,2.0708837509155273,9200
1980-12-26,12.5,13.0,12.5,12.5,2.1131465435028076,3900
1980-12-29,12.5,13.0,12.5,12.5,2.1131465435028076,4400
1980-12-30,12.5,13.0,12.5,12.5,2.1131465435028076,13400
1980-12-31,12.5,12.75,12.25,12.25,2.0708837509155273,7800
1981-01-02,12.75,13.0,12.75,12.75,2.155410051345825,8000
1981-01-05,13.0,13.5,13.0,13.0,2.1976730823516846,9400
1981-01-06,13.0,13.5,13.0,13.0,2.1976730823516846,10200
1981-01-07,13.0,13.0,12.25,12.25,2.0708837509155273,17100
1981-01-08,12.5,13.0,12.5,12.5,2.1131465435028076,7800
1981-01-09,13.0,13.5,13.0,13.0,2.1976730823516846,5600
1981-01-12,13.0,13.5,13.0,13.0,2.1976730823516846,11400
1981-01-13,13.5,14.0,13.5,13.5,2.282198905944824,5000
1981-01-14,13.75,14.25,13.75,13.75,2.3244616985321045,7100
1981-01-15,13.75,14.25,13.75,13.75,2.3244616985321045,3300
1981-01-16,13.75,14.25,13.75,13.75,2.3244616985321045,6800
1981-01-19,13.75,14.25,13.75,13.75,2.3244616985321045,7600
1981-01-20,13.75,14.25,13.5,13.5,2.282198905944824,6800
1981-01-21,13.75,14.25,13.75,13.75,2.3244616985321045,2600
1981-01-22,13.75,14.0,13.5,13.5,2.282198905944824,7700
1981-01-23,13.75,14.25,13.75,13.75,2.3244616985321045,7900
1981-01-26,13.75,14.0,13.5,13.5,2.282198905944824,3200
1981-01-27,13.75,14.25,13.75,13.75,2.3244616985321045,4100
1981-01-28,13.75,14.25,13.5,13.5,2.282198905944824,7800
1981-01-29,13.5,14.0,13.5,13.5,2.282198905944824,2300
1981-01-30,13.5,14.0,13.5,13.5,2.282198905944824,4700
1981-02-02,13.5,13.75,13.25,13.25,2.2399353981018066,8500
1981-02-03,13.25,13.75,13.25,13.25,2.2399353981018066,3100
1981-02-04,13.5,14.0,13.5,13.5,2.282198905944824,6100
1981-02-05,13.5,14.0,13.5,13.5,2.282198905944824,4600
1981-02-06,13.5,14.0,13.5,13.5,2.282198905944824,5300
1981-02-09,13.5,14.0,13.5,13.5,2.282198905944824,3800
1981-02-10,13.5,14.0,13.5,13.5,2.282198905944824,4300
1981-02-11,13.5,14.0,13.5,13.5,2.282198905944824,2700
1981-02-12,13.5,14.0,13.5,13.5,2.282198905944824,3000
1981-02-13,13.5,14.0,13.5,13.5,2.282198905944824,7600
1981-02-17,13.5,13.75,13.25,13.25,2.2399353981018066,4400
1981-02-18,13.5,13.75,13.5,13.5,2.282198905944824,4000
1981-02-19,13.5,14.0,13.5,13.5,2.282198905944824,12600
1981-02-20,13.5,14.0,13.5,13.5,2.282198905944824,3400
1981-02-23,13.5,14.0,13.5,13.5,2.282198905944824,1900
1981-02-24,13.5,13.75,13.25,13.25,2.2399353981018066,4800
1981-02-25,13.25,13.5,13.0,13.0,2.1976730823516846,13100
1981-02-26,13.0,13.5,13.0,13.0,2.1976730823516846,15900
1981-02-27,13.0,13.5,13.0,13.0,2.1976730823516846,2200
1981-03-02,13.0,13.5,13.0,13.0,2.1976730823516846,3100
1981-03-03,13.0,13.5,12.75,12.75,2.155410051345825,5100
1981-03-04,12.75,13.25,12.75,12.75,2.155410051345825,4400
1981-03-05,12.75,13.25,12.75,12.75,2.155410051345825,4600
1981-03-06,12.5,12.5,12.0,12.0,2.0286216735839844,7500
1981-03-09,12.5,12.75,12.5,12.5,2.1131465435028076,6400
1981-03-10,12.5,12.75,12.25,12.25,2.0708837509155273,4200
1981-03-11,12.25,12.75,12.25,12.25,2.0708837509155273,4500
1981-03-12,12.25,12.75,12.25,12.25,2.0708837509155273,11000
1981-03-13,12.25,12.75,12.25,12.25,2.0708837509155273,5200
1981-03-16,12.5,12.75,12.5,12.5,2.1131465435028076,5100
1981-03-17,12.5,13.0,12.5,12.5,2.1131465435028076,5400
1981-03-18,12.5,13.0,12.5,12.5,2.1131465435028076,2200
1981-03-19,12.75,13.25,12.75,12.75,2.155410051345825,8100
1981-03-20,12.75,13.25,12.5,12.5,2.1131465435028076,3200
1981-03-23,12.75,13.25,12.75,12.75,2.155410051345825,3500
1981-03-24,13.0,13.5,13.0,13.0,2.1976730823516846,8600
1981-03-25,13.0,13.5,13.0,13.0,2.1976730823516846,4000
1981-03-26,13.25,13.75,13.25,13.25,2.2399353981018066,3100
1981-03-27,13.75,14.25,13.75,13.75,2.3244616985321045,7300
1981-03-30,13.75,14.25,13.75,13.75,2.3244616985321045,5800
1981-03-31,13.75,14.25,13.75,13.75,2.3244616985321045,14100
1981-04-01,13.75,14.25,13.625,13.625,2.3033294677734375,6100
1981-04-02,13.75,14.25,13.75,13.75,2.3244616985321045,5800
1981-04-03,13.75,14.25,13.75,13.75,2.3244616985321045,4900
1981-04-06,13.75,14.25,13.75,13.75,2.3244616985321045,4700
1981-04-07,13.75,14.25,13.625,13.625,2.3033294677734375,10000
1981-04-08,13.625,14.25,13.625,13.625,2.3033294677734375,4500
1981-04-09,13.625,14.25,13.625,13.625,2.3033294677734375,5900
1981-04-10,14.0,14.75,14.0,14.0,2.366724967956543,3500
1981-04-13,14.0,14.75,14.0,14.0,2.366724967956543,3200
1981-04-14,14.0,14.25,13.75,13.75,2.3244616985321045,4300
1981-04-15,14.0,14.5,14.0,14.0,2.366724967956543,3900
1981-04-16,14.0,14.5,13.75,13.75,2.3244616985321045,4100
1981-04-20,13.25,13.25,12.75,12.75,2.155410051345825,7100
1981-04-21,13.0,13.25,13.0,13.0,2.1976730823516846,2500
1981-04-22,13.25,13.75,13.25,13.25,2.2399353981018066,4500
1981-04-23,13.25,13.75,13.25,13.25,2.2399353981018066,3300
1981-04-24,13.25,13.75,13.25,13.25,2.2399353981018066,2300
1981-04-27,13.25,13.5,13.0,13.0,2.1976730823516846,5400
1981-04-28,13.0,13.5,13.0,13.0,2.1976730823516846,3700
1981-04-29,13.0,13.25,13.0,13.0,2.1976730823516846,3100
1981-04-30,13.0,13.0,12.75,12.75,2.155410051345825,2200
1981-05-01,12.75,12.75,12.25,12.25,2.0708837509155273,3600
1981-05-04,12.0,12.0,11.75,11.75,1.9863579273223877,2800
1981-05-05,11.75,12.0,11.5,11.5,1.9440958499908447,7300
1981-05-06,11.5,12.0,11.5,11.5,1.9440958499908447,5900
1981-05-07,11.75,12.25,11.75,11.75,1.9863579273223877,7500
1981-05-08,11.75,12.5,11.75,11.75,1.9863579273223877,4800
1981-05-11,11.75,12.25,11.75,11.75,1.9863579273223877,5100
1981-05-12,11.75,12.25,11.75,11.75,1.9863579273223877,3800
1981-05-13,11.75,12.25,11.75,11.75,1.9863579273223877,1600
