Date,Open,High,Low,Close,Adj Close,Volume
1988-06-22,0.0,4.75,4.625,4.625,2.641789436340332,18200
1988-06-23,0.0,4.5,4.25,4.25,2.4275896549224854,51100
1988-06-24,0.0,4.375,4.375,4.375,2.498990774154663,11800
1988-06-27,0.0,4.375,4.25,4.25,2.4275896549224854,13200
1988-06-28,0.0,4.25,4.0,4.0,2.2847907543182373,16200
1988-06-29,0.0,4.25,4.125,4.125,2.356189727783203,8900
1988-06-30,0.0,4.5,4.375,4.375,2.498990774154663,47300
1988-07-01,0.0,4.875,4.75,4.75,2.713188886642456,29100
1988-07-05,0.0,4.875,4.625,4.625,2.641789436340332,14000
1988-07-06,0.0,4.625,4.5,4.5,2.5703892707824707,20000
1988-07-07,0.0,4.625,4.5,4.5,2.5703892707824707,6900
1988-07-08,0.0,4.5,4.375,4.375,2.498990774154663,9300
1988-07-11,0.0,4.5,4.375,4.375,2.498990774154663,31400
1988-07-12,0.0,4.625,4.375,4.375,2.498990774154663,3600
1988-07-13,0.0,4.625,4.5,4.5,2.5703892707824707,2800
1988-07-14,0.0,4.625,4.375,4.375,2.498990774154663,26400
1988-07-15,0.0,4.625,4.375,4.375,2.498990774154663,13000
1988-07-18,0.0,4.5,4.25,4.25,2.4275896549224854,10500
1988-07-19,0.0,4.375,4.125,4.125,2.356189727783203,7500
1988-07-20,0.0,4.125,3.875,3.875,2.213391065597534,31400
1988-07-21,0.0,4.125,4.0,4.0,2.2847907543182373,13200
1988-07-22,0.0,4.125,3.875,3.875,2.213391065597534,21100
1988-07-25,0.0,4.125,3.875,3.875,2.213391065597534,2000
1988-07-26,0.0,4.0,3.875,3.875,2.213391065597534,26900
1988-07-27,0.0,4.0,3.875,3.875,2.213391065597534,1900
1988-07-28,0.0,4.0,3.875,3.875,2.213391065597534,10300
1988-07-29,0.0,4.0,3.875,3.875,2.213391065597534,14200
1988-08-01,0.0,4.125,4.0,4.0,2.2847907543182373,19700
1988-08-02,0.0,4.125,3.875,3.875,2.213391065597534,17500
1988-08-03,0.0,4.0,3.75,3.75,2.1419918537139893,33600
1988-08-04,0.0,3.875,3.625,3.625,2.070589780807495,1300
1988-08-05,0.0,3.875,3.75,3.75,2.1419918537139893,2900
1988-08-08,0.0,3.875,3.75,3.75,2.1419918537139893,9400
1988-08-09,0.0,3.625,3.5,3.5,1.999192476272583,26000
1988-08-10,0.0,3.375,3.25,3.25,1.85639226436615,41100
1988-08-11,0.0,3.5,3.375,3.375,1.9277931451797485,8900
1988-08-12,0.0,3.5,3.375,3.375,1.9277931451797485,2000
1988-08-15,0.0,3.375,3.25,3.25,1.85639226436615,12500
1988-08-16,0.0,3.375,3.125,3.125,1.7849929332733154,13700
1988-08-17,0.0,2.875,2.75,2.75,1.5707937479019165,43200
1988-08-18,0.0,2.875,2.75,2.75,1.5707937479019165,15500
1988-08-19,0.0,2.875,2.75,2.75,1.5707937479019165,13400
1988-08-22,0.0,2.75,2.625,2.625,1.499394178390503,12400
1988-08-23,0.0,2.875,2.75,2.75,1.5707937479019165,21500
